2026-04-16 09:56:08 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=726431f357eed937e0cfef8cd0c22e93, status=200, durationMs=2
2026-04-16 09:56:08 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=726431f357eed937e0cfef8cd0c22e93, status=200, durationMs=15
2026-04-16 09:56:18 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=299
2026-04-16 09:56:30 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=726431f357eed937e0cfef8cd0c22e93, status=200, durationMs=1
2026-04-16 10:00:29 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=726431f357eed937e0cfef8cd0c22e93, status=200, durationMs=1
2026-04-16 10:04:03 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=355
2026-04-16 10:04:04 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=470
2026-04-16 10:04:04 INFO  - method=POST, uri=/api/customers, status=201, durationMs=26
2026-04-16 10:06:23 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=726431f357eed937e0cfef8cd0c22e93, status=200, durationMs=9
2026-04-16 10:08:22 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=258
2026-04-16 10:10:20 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=726431f357eed937e0cfef8cd0c22e93, status=200, durationMs=26
2026-04-16 10:10:20 INFO  - method=GET, uri=/h2-console/stylesheet.css, status=200, durationMs=30
2026-04-16 10:10:20 INFO  - method=GET, uri=/h2-console/login.jsp?jsessionid=b5784b70f666bc1c4c94b7b747120341, status=200, durationMs=9
2026-04-16 10:10:20 INFO  - method=GET, uri=/h2-console/login.jsp, status=200, durationMs=13
2026-04-16 10:10:21 INFO  - method=GET, uri=/h2-console/login.jsp?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=4
2026-04-16 10:10:21 INFO  - method=GET, uri=/h2-console/background.gif, status=200, durationMs=10
2026-04-16 10:10:22 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=15
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=8
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=13
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=12
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_refresh.gif, status=200, durationMs=4
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_disconnect.gif, status=200, durationMs=18
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_rollback.gif, status=200, durationMs=29
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_commit.gif, status=200, durationMs=19
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_line.gif, status=200, durationMs=39
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_help.gif, status=200, durationMs=10
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_run_selected.gif, status=200, durationMs=11
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_run.gif, status=200, durationMs=47
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_stop.gif, status=200, durationMs=23
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/icon_history.gif, status=200, durationMs=11
2026-04-16 10:10:22 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=441
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree.js, status=200, durationMs=8
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_minus.gif, status=200, durationMs=5
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_column.gif, status=200, durationMs=5
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_index_az.gif, status=200, durationMs=5
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_table.gif, status=200, durationMs=11
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_plus.gif, status=200, durationMs=35
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_database.gif, status=200, durationMs=29
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_empty.gif, status=200, durationMs=50
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_index.gif, status=200, durationMs=8
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_type.gif, status=200, durationMs=30
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_folder.gif, status=200, durationMs=3
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_info.gif, status=200, durationMs=7
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_users.gif, status=200, durationMs=14
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_view.gif, status=200, durationMs=15
2026-04-16 10:10:23 INFO  - method=GET, uri=/h2-console/tree_user.gif, status=200, durationMs=26
2026-04-16 10:10:28 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=c26673e06a98807a24c692f708961e56, status=200, durationMs=28
2026-04-16 10:10:28 INFO  - method=GET, uri=/h2-console/table.js, status=200, durationMs=16
2026-04-16 10:11:04 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=1383
2026-04-16 10:11:05 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=1024
2026-04-16 10:11:05 INFO  - method=POST, uri=/api/customers, status=201, durationMs=245
2026-04-16 10:11:06 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=90
2026-04-16 10:11:33 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=52
2026-04-16 10:11:33 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=186
2026-04-16 10:11:37 INFO  - method=POST, uri=/customers/35/accounts, status=201, durationMs=453
2026-04-16 10:11:37 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=112
2026-04-16 10:11:37 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=117
2026-04-16 10:13:41 INFO  - method=POST, uri=/customers/35/accounts, status=201, durationMs=8
2026-04-16 10:13:41 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=9
2026-04-16 10:13:41 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=13
2026-04-16 10:14:08 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=4
2026-04-16 10:14:11 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 10:14:12 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 10:14:12 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=9
2026-04-16 10:14:23 INFO  - method=POST, uri=/accounts/1002/deposit, status=200, durationMs=140
2026-04-16 10:14:25 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=14
2026-04-16 10:14:31 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=10
2026-04-16 10:14:32 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=24
2026-04-16 10:14:43 INFO  - method=POST, uri=/accounts/1003/withdraw, status=200, durationMs=6
2026-04-16 10:14:44 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=4
2026-04-16 10:14:47 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=5
2026-04-16 10:14:47 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=6
2026-04-16 10:14:55 INFO  - method=POST, uri=/accounts/1003/withdraw, status=200, durationMs=8
2026-04-16 10:14:56 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=4
2026-04-16 10:14:59 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=5
2026-04-16 10:14:59 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=5
2026-04-16 10:15:13 INFO  - method=POST, uri=/accounts/transfer, status=200, durationMs=16
2026-04-16 10:15:14 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=6
2026-04-16 10:15:18 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=4
2026-04-16 10:15:18 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=6
2026-04-16 10:15:33 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=4
2026-04-16 10:15:36 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=5
2026-04-16 10:15:36 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=6
2026-04-16 10:15:38 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=4
2026-04-16 10:15:47 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=4
2026-04-16 10:16:03 INFO  - method=POST, uri=/accounts/transfer, status=200, durationMs=13
2026-04-16 10:16:04 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=5
2026-04-16 10:16:06 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=4
2026-04-16 10:16:06 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=4
2026-04-16 10:16:16 INFO  - method=GET, uri=/accounts/1003/transactions?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=19
2026-04-16 10:16:25 INFO  - method=GET, uri=/accounts/1003/transactions/export?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=133
2026-04-16 10:16:40 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=7
2026-04-16 10:16:42 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 10:16:42 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=10
2026-04-16 10:16:47 INFO  - method=GET, uri=/accounts/1002/transactions/export?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=39
2026-04-16 10:16:56 INFO  - method=GET, uri=/accounts/1002/transactions?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=28
2026-04-16 10:17:05 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=15
2026-04-16 10:17:31 INFO  - method=GET, uri=/accounts/1002/standing-orders, status=200, durationMs=12
2026-04-16 10:17:35 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=8
2026-04-16 10:17:42 INFO  - method=GET, uri=/accounts/1002/statements/2026-04, status=200, durationMs=151
2026-04-16 10:18:05 INFO  - method=GET, uri=/accounts/1002/statements/2025-04, status=200, durationMs=19
2026-04-16 10:18:09 INFO  - method=GET, uri=/accounts/1002/statements/2026-04, status=200, durationMs=5
2026-04-16 10:18:20 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=3
2026-04-16 10:27:27 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=3
2026-04-16 10:27:33 INFO  - method=GET, uri=/accounts/1002/insights?year=2026&month=04, status=200, durationMs=22
2026-04-16 10:28:47 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=7
2026-04-16 10:28:47 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=8
2026-04-16 10:29:03 INFO  - method=GET, uri=/accounts/1002/insights?year=2026&month=04, status=200, durationMs=9
2026-04-16 10:30:00 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=4
2026-04-16 10:30:05 INFO  - method=GET, uri=/accounts/1002/transactions?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=5
2026-04-16 10:30:27 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=4
2026-04-16 10:30:28 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=5
2026-04-16 10:30:28 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=5
2026-04-16 10:30:38 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=3
2026-04-16 10:30:47 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=4
2026-04-16 10:30:47 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=4
2026-04-16 10:30:47 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=4
2026-04-16 12:53:41 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=206
2026-04-16 12:53:41 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=42
2026-04-16 12:53:44 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=9
2026-04-16 12:53:44 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=16
2026-04-16 12:53:44 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 12:53:45 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 12:53:45 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=8
2026-04-16 12:53:54 INFO  - method=GET, uri=/accounts/1003, status=200, durationMs=17
2026-04-16 12:57:47 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 12:57:47 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=7
2026-04-16 12:58:24 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 12:58:24 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=9
2026-04-16 12:58:27 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=7
2026-04-16 12:58:28 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=6
2026-04-16 12:58:28 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=7
2026-04-16 12:58:31 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=19
2026-04-16 12:58:52 INFO  - method=GET, uri=/api/customers/35, status=200, durationMs=5
2026-04-16 12:58:52 INFO  - method=GET, uri=/customers/35/accounts, status=200, durationMs=5
2026-04-16 12:58:53 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=4
2026-04-16 13:00:02 INFO  - method=GET, uri=/accounts/1002/statements/2026-04, status=200, durationMs=79
2026-04-16 13:00:48 INFO  - method=GET, uri=/accounts/1002/statements/2025-04, status=200, durationMs=16
2026-04-16 13:01:00 INFO  - method=GET, uri=/accounts/1002/statements/2026-04, status=200, durationMs=13
2026-04-16 13:01:03 INFO  - method=GET, uri=/accounts/1002/statements/2025-04, status=200, durationMs=4
2026-04-16 13:20:04 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=12
2026-04-16 13:20:11 INFO  - method=GET, uri=/accounts/1002/transactions?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=122
2026-04-16 13:20:51 INFO  - method=GET, uri=/accounts/1002/transactions?startDate=2026-03-19&endDate=2026-04-14, status=200, durationMs=7
2026-04-16 13:20:57 INFO  - method=GET, uri=/accounts/1002/transactions?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=11
2026-04-16 13:20:59 INFO  - method=GET, uri=/accounts/1002/transactions/export?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=14
2026-04-16 13:21:04 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=10
2026-04-16 13:21:50 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=9
2026-04-16 13:21:52 INFO  - method=GET, uri=/accounts/1002/transactions?startDate=2026-03-19&endDate=2026-04-16, status=200, durationMs=8
2026-04-16 13:21:53 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=11
2026-04-16 13:21:57 INFO  - method=GET, uri=/accounts/1002/statements/2026-04, status=200, durationMs=31
2026-04-16 13:27:25 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=141
2026-04-16 13:27:25 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=90
2026-04-16 13:27:25 INFO  - method=POST, uri=/api/customers, status=201, durationMs=17
2026-04-16 13:27:25 INFO  - method=POST, uri=/customers/36/accounts, status=201, durationMs=34
2026-04-16 13:27:42 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=89
2026-04-16 13:27:43 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=92
2026-04-16 13:27:43 INFO  - method=POST, uri=/api/customers, status=201, durationMs=4
2026-04-16 13:27:43 INFO  - method=POST, uri=/customers/37/accounts, status=201, durationMs=11
2026-04-16 13:27:51 INFO  - method=GET, uri=/accounts/1002, status=200, durationMs=12
