2026-04-16 09:56:08 ERROR - method=GET, uri=/h2-console/tree_user.gif, status=304, durationMs=0
2026-04-16 09:56:08 ERROR - method=GET, uri=/h2-console/tree_users.gif, status=304, durationMs=0
2026-04-16 09:56:08 ERROR - method=GET, uri=/h2-console/tree_info.gif, status=304, durationMs=0
2026-04-16 09:56:18 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=1
2026-04-16 09:56:30 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 09:56:30 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 10:00:29 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 10:00:29 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 10:04:04 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=13
2026-04-16 10:05:03 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=2
2026-04-16 10:05:03 ERROR - method=GET, uri=/customers/34/accounts, status=500, durationMs=4
2026-04-16 10:05:07 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=2
2026-04-16 10:05:49 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=35
2026-04-16 10:05:49 ERROR - method=GET, uri=/customers/34/accounts, status=500, durationMs=85
2026-04-16 10:06:23 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=1
2026-04-16 10:06:23 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 10:08:22 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=26
2026-04-16 10:08:26 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=4
2026-04-16 10:08:26 ERROR - method=GET, uri=/customers/34/accounts, status=500, durationMs=40
2026-04-16 10:08:27 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=12
2026-04-16 10:08:37 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=9
2026-04-16 10:08:55 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=14
2026-04-16 10:08:55 ERROR - method=GET, uri=/customers/34/accounts, status=500, durationMs=38
2026-04-16 10:09:03 ERROR - method=GET, uri=/api/customers/34, status=403, durationMs=16
2026-04-16 10:18:01 ERROR - method=GET, uri=/accounts/1002/statements/2027-04, status=500, durationMs=2
2026-04-16 13:00:06 ERROR - method=GET, uri=/accounts/1002/statements/2027-04, status=500, durationMs=5
2026-04-16 13:20:00 ERROR - method=GET, uri=/accounts/1002/statements/2027-04, status=500, durationMs=3
2026-04-16 13:22:01 ERROR - method=GET, uri=/accounts/1002/statements/2027-04, status=500, durationMs=18
2026-04-16 13:27:26 ERROR - method=GET, uri=/accounts/1004/statements/2027-04, status=500, durationMs=1
2026-04-16 13:27:43 ERROR - method=GET, uri=/accounts/1005/statements/2027-04, status=500, durationMs=1
2026-04-16 13:28:03 ERROR - method=GET, uri=/accounts/1005/statements/2027-04, status=500, durationMs=66
2026-04-16 13:28:19 ERROR - method=GET, uri=/accounts/1002/insights?year=2027&month=04, status=500, durationMs=49
2026-04-16 13:35:12 ERROR - method=GET, uri=/accounts/1006/statements/2027-04, status=422, durationMs=8
2026-04-16 13:35:59 ERROR - method=GET, uri=/accounts/1006/statements/2027-04, status=422, durationMs=4
2026-04-16 13:36:12 ERROR - method=POST, uri=/api/customers, status=400, durationMs=3
2026-04-16 13:36:33 ERROR - method=GET, uri=/accounts/1006/statements/2027-04, status=422, durationMs=6
2026-04-16 13:39:44 ERROR - method=GET, uri=/accounts/1002/statements/2027-04, status=422, durationMs=1
2026-04-16 13:39:51 ERROR - method=GET, uri=/accounts/1002/statements/2025-04, status=422, durationMs=3
2026-04-16 13:40:06 ERROR - method=GET, uri=/accounts/1002/insights?year=2027&month=04, status=422, durationMs=5
2026-04-16 13:49:44 ERROR - method=GET, uri=/accounts/1003/statements/2026-03, status=422, durationMs=3
2026-04-16 14:22:07 ERROR - method=POST, uri=/accounts/1002/standing-orders, status=500, durationMs=10
2026-04-16 14:22:11 ERROR - method=POST, uri=/accounts/1002/standing-orders, status=500, durationMs=2
2026-04-16 14:32:43 ERROR - method=GET, uri=/accounts/1002/statements/2024-03, status=422, durationMs=11
2026-04-16 14:32:55 ERROR - method=GET, uri=/accounts/1002/statements/2024-04, status=422, durationMs=4
2026-04-16 17:16:57 ERROR - method=PUT, uri=/accounts/1002/transactions/2c8f886a-6544-42b0-97c1-894cc4a81c00/category, status=422, durationMs=61
2026-04-16 17:17:10 ERROR - method=PUT, uri=/accounts/1002/transactions/2c8f886a-6544-42b0-97c1-894cc4a81c00/category, status=422, durationMs=7
2026-04-16 17:18:08 ERROR - method=PUT, uri=/accounts/1002/transactions/2c8f886a-6544-42b0-97c1-894cc4a81c00/category, status=422, durationMs=3
2026-04-16 17:18:16 ERROR - method=PUT, uri=/accounts/1002/transactions/2c8f886a-6544-42b0-97c1-894cc4a81c00/category, status=422, durationMs=5
2026-04-16 17:26:20 ERROR - method=PUT, uri=/accounts/1002/transactions/2c8f886a-6544-42b0-97c1-894cc4a81c00/category, status=422, durationMs=2
